id,pred
2013_1103_1107,0.302
2013_1103_1112,0.182
2013_1103_1125,0.794
2013_1103_1129,0.524
2013_1103_1137,0.196
2013_1103_1139,0.09
2013_1103_1143,0.296
2013_1103_1153,0.218
2013_1103_1160,0.268
2013_1103_1161,0.088
2013_1103_1166,0.266
2013_1103_1172,0.248
2013_1103_1181,0.046
2013_1103_1195,0.262
2013_1103_1196,0.0
2013_1103_1207,0.158
2013_1103_1211,0.012
2013_1103_1217,0.164
2013_1103_1228,0.01
2013_1103_1231,0.028
2013_1103_1233,0.506
2013_1103_1235,0.06
2013_1103_1241,0.194
2013_1103_1242,0.0
2013_1103_1243,0.017
2013_1103_1247,0.044
2013_1103_1251,0.688
2013_1103_1254,0.72
2013_1103_1257,0.006
2013_1103_1266,0.066
2013_1103_1272,0.082
2013_1103_1274,0.074
2013_1103_1276,0.088
2013_1103_1277,0.002
2013_1103_1278,0.196
2013_1103_1279,0.142
2013_1103_1281,0.164
2013_1103_1285,0.126
2013_1103_1292,0.218
2013_1103_1299,0.2
2013_1103_1301,0.126
2013_1103_1307,0.104
2013_1103_1308,0.162
2013_1103_1314,0.004
2013_1103_1322,0.162
2013_1103_1323,0.042
2013_1103_1326,0.06
2013_1103_1328,0.102
2013_1103_1329,0.158
2013_1103_1332,0.126
2013_1103_1334,0.196
2013_1103_1338,0.026
2013_1103_1355,0.79
2013_1103_1361,0.174
2013_1103_1380,0.268
2013_1103_1387,0.282
2013_1103_1388,0.324
2013_1103_1393,0.064
2013_1103_1396,0.084
2013_1103_1417,0.112
2013_1103_1424,0.29
2013_1103_1433,0.0
2013_1103_1434,0.164
2013_1103_1437,0.12
2013_1103_1443,0.256
2013_1103_1455,0.15
2013_1103_1458,0.15
2013_1107_1112,0.03
2013_1107_1125,0.796
2013_1107_1129,0.836
2013_1107_1137,0.242
2013_1107_1139,0.128
2013_1107_1143,0.576
2013_1107_1153,0.508
2013_1107_1160,0.426
2013_1107_1161,0.146
2013_1107_1166,0.34
2013_1107_1172,0.808
2013_1107_1181,0.0
2013_1107_1195,0.496
2013_1107_1196,0.0
2013_1107_1207,0.828
2013_1107_1211,0.102
2013_1107_1217,0.69
2013_1107_1228,0.1
2013_1107_1231,0.022
2013_1107_1233,0.886
2013_1107_1235,0.206
2013_1107_1241,0.328
2013_1107_1242,0.118
2013_1107_1243,0.038
2013_1107_1247,0.466
2013_1107_1251,0.86
2013_1107_1254,0.886
2013_1107_1257,0.012
2013_1107_1266,0.138
2013_1107_1272,0.202
2013_1107_1274,0.124
2013_1107_1276,0.016
2013_1107_1277,0.016
2013_1107_1278,0.246
2013_1107_1279,0.158
2013_1107_1281,0.28
2013_1107_1285,0.452
2013_1107_1292,0.27
2013_1107_1299,0.34
2013_1107_1301,0.37
2013_1107_1307,0.556
2013_1107_1308,0.516
2013_1107_1314,0.372
2013_1107_1322,0.392
2013_1107_1323,0.096
2013_1107_1326,0.048
2013_1107_1328,0.334
2013_1107_1329,0.4
2013_1107_1332,0.188
2013_1107_1334,0.446
2013_1107_1338,0.21
2013_1107_1355,0.92
2013_1107_1361,0.4
2013_1107_1380,0.53
2013_1107_1387,0.318
2013_1107_1388,0.366
2013_1107_1393,0.006
2013_1107_1396,0.51
2013_1107_1417,0.012
2013_1107_1424,0.064
2013_1107_1433,0.276
2013_1107_1434,0.392
2013_1107_1437,0.556
2013_1107_1443,0.348
2013_1107_1455,0.346
2013_1107_1458,0.426
2013_1112_1125,1.0
2013_1112_1129,0.986
2013_1112_1137,0.726
2013_1112_1139,0.312
2013_1112_1143,0.75
2013_1112_1153,0.621
2013_1112_1160,0.882
2013_1112_1161,0.412
2013_1112_1166,0.542
2013_1112_1172,0.894
2013_1112_1181,1.0
2013_1112_1195,0.994
2013_1112_1196,0.227
2013_1112_1207,0.16
2013_1112_1211,0.13
2013_1112_1217,1.0
2013_1112_1228,0.566
2013_1112_1231,0.188
2013_1112_1233,0.99
2013_1112_1235,0.868
2013_1112_1241,0.792
2013_1112_1242,0.244
2013_1112_1243,0.362
2013_1112_1247,0.806
2013_1112_1251,0.93
2013_1112_1254,0.932
2013_1112_1257,0.196
2013_1112_1266,0.012
2013_1112_1272,0.168
2013_1112_1274,0.35
2013_1112_1276,0.12
2013_1112_1277,0.168
2013_1112_1278,0.658
2013_1112_1279,0.693
2013_1112_1281,0.442
2013_1112_1285,0.728
2013_1112_1292,0.672
2013_1112_1299,0.796
2013_1112_1301,0.36
2013_1112_1307,0.176
2013_1112_1308,0.484
2013_1112_1314,0.712
2013_1112_1322,0.966
2013_1112_1323,0.574
2013_1112_1326,0.0
2013_1112_1328,0.712
2013_1112_1329,1.0
2013_1112_1332,0.526
2013_1112_1334,0.958
2013_1112_1338,0.44
2013_1112_1355,0.994
2013_1112_1361,0.682
2013_1112_1380,0.668
2013_1112_1387,0.372
2013_1112_1388,0.782
2013_1112_1393,0.248
2013_1112_1396,0.084
2013_1112_1417,0.576
2013_1112_1424,0.118
2013_1112_1433,0.452
2013_1112_1434,0.992
2013_1112_1437,0.61
2013_1112_1443,0.778
2013_1112_1455,0.566
2013_1112_1458,0.0
2013_1125_1129,0.33
2013_1125_1137,0.006
2013_1125_1139,0.0
